球员,球队,位置,场次,先发,出场时间,三分命中率,罚球命中率,进攻效率,防守效率,篮板,助攻,抢断,盖帽,失误,犯规,得分
giannis_antetokounmpo,雄鹿,前锋,12,12,37.3,22.0,67.9,2.2,12.0,14.2,6.8,0.7,1.3,4.5,3.6,31.7
luka_don,独行侠,前锋-后卫,15,15,36.8,34.5,77.0,0.7,9.1,9.8,6.4,1.8,0.6,3.9,2.9,31.7
nikola_jokic,掘金,中锋,5,5,34.2,27.8,84.8,3.4,9.8,13.2,5.8,1.6,1.0,4.8,4.0,31.0
ja_morant,灰熊,后卫,9,9,37.6,34.0,74.7,1.4,6.6,8.0,9.8,2.0,0.4,3.6,2.4,27.1
jayson_tatum,凯尔特人,前锋-后卫,17,17,40.8,36.6,83.5,1.0,5.5,6.5,5.9,1.2,0.9,4.4,3.1,27.1
brandon_ingram,鹈鹕,前锋,6,6,39.3,40.7,83.0,0.7,5.5,6.2,6.2,0.7,0.3,3.8,1.8,27.0
jimmy_butler,热火,前锋,16,16,36.3,34.4,85.1,2.5,4.8,7.3,4.8,2.1,0.7,1.5,1.4,26.9
kevin_durant,篮网,前锋,4,4,44.0,33.3,89.5,0.5,5.3,5.8,6.3,1.0,0.3,5.3,3.8,26.3
stephen_curry,勇士,后卫,16,12,33.6,38.0,82.2,0.6,4.4,4.9,6.2,1.1,0.4,2.6,2.6,25.9
donovan_mitchell,爵士,后卫,6,6,38.3,20.8,88.1,1.0,3.3,4.3,5.7,0.7,0.5,2.7,2.3,25.5
anthony_edwards,森林狼,后卫,6,6,37.8,40.4,82.4,0.7,3.5,4.2,3.0,1.2,1.2,2.5,3.7,25.2
joel_embiid,76人,中锋-前锋,10,10,38.5,21.2,82.0,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6
devin_booker,太阳,后卫,10,10,36.6,43.1,88.7,1.0,3.8,4.8,4.4,0.5,0.4,3.2,2.5,23.3
jaylen_brown,凯尔特人,后卫-前锋,17,17,37.8,39.4,73.9,1.2,5.6,6.8,3.4,1.3,0.5,2.9,3.0,22.9
pascal_siakam,猛龙,前锋,6,6,43.3,23.5,86.1,1.3,5.8,7.2,5.8,1.2,1.0,2.2,4.0,22.8
cj_mccollum,鹈鹕,后卫,6,6,39.0,33.3,69.2,1.8,4.8,6.7,4.8,0.7,0.8,2.5,2.5,22.2
karl-anthony_towns,森林狼,中锋-前锋,6,6,37.0,45.5,86.0,1.8,9.0,10.8,2.2,0.7,2.0,4.5,4.2,21.8
jalen_brunson,独行侠,后卫,18,18,34.9,34.7,80.0,0.8,3.8,4.6,3.7,0.8,0.1,1.1,2.1,21.6
kyrie_irving,篮网,后卫,4,4,42.5,38.1,100.0,1.5,3.8,5.3,5.3,1.8,1.3,2.3,3.3,21.3
deandre_hunter,老鹰,前锋-后卫,5,5,35.0,46.2,80.0,0.4,3.4,3.8,0.6,0.8,0.2,2.2,4.0,21.2
demar_derozan,公牛,后卫-前锋,5,5,40.6,0.0,86.7,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8
